  x             y         z
  -9.740  0.1692E-82  0.1000E+03
  -9.710  0.1692E-82  0.1000E+03
  -9.680  0.1692E-82  0.1000E+03
  -9.650  0.1692E-82  0.1000E+03
  -9.620  0.1692E-82  0.1000E+03
  -9.590  0.1692E-82  0.1000E+03
  -9.560  0.1692E-82  0.1000E+03
  -9.530  0.1692E-82  0.1000E+03
  -9.500  0.1692E-82  0.1000E+03
  -9.470  0.1692E-82  0.1000E+03
  -9.440  0.1692E-82  0.1000E+03
  -9.410  0.1692E-82  0.1000E+03
  -9.380  0.1692E-82  0.1000E+03
  -9.350  0.1692E-82  0.1000E+03
  -9.320  0.1692E-82  0.1000E+03
  -9.290  0.1692E-82  0.1000E+03
  -9.260  0.1692E-82  0.1000E+03
  -9.230  0.1692E-82  0.1000E+03
  -9.200  0.1692E-82  0.1000E+03
  -9.170  0.1692E-82  0.1000E+03
  -9.140  0.1692E-82  0.1000E+03
  -9.110  0.1692E-82  0.1000E+03
  -9.080  0.1692E-82  0.1000E+03
  -9.050  0.1692E-82  0.1000E+03
  -9.020  0.1692E-82  0.1000E+03
  -8.990  0.1692E-82  0.1000E+03
  -8.960  0.1692E-82  0.1000E+03
  -8.930  0.1692E-82  0.1000E+03
  -8.900  0.1692E-82  0.1000E+03
  -8.870  0.1692E-82  0.1000E+03
  -8.840  0.1692E-82  0.1000E+03
  -8.810  0.1692E-82  0.1000E+03
  -8.780  0.1692E-82  0.1000E+03
  -8.750  0.1692E-82  0.1000E+03
  -8.720  0.1692E-82  0.1000E+03
  -8.690  0.1692E-82  0.1000E+03
  -8.660  0.1692E-82  0.1000E+03
  -8.630  0.1692E-82  0.1000E+03
  -8.600  0.1692E-82  0.1000E+03
  -8.570  0.1692E-82  0.1000E+03
  -8.540  0.1692E-82  0.1000E+03
  -8.510  0.1692E-82  0.1000E+03
  -8.480  0.1692E-82  0.1000E+03
  -8.450  0.1692E-82  0.1000E+03
  -8.420  0.1692E-82  0.1000E+03
  -8.390  0.1692E-82  0.1000E+03
  -8.360  0.1692E-82  0.1000E+03
  -8.330  0.1692E-82  0.1000E+03
  -8.300  0.1692E-82  0.1000E+03
  -8.270  0.1692E-82  0.1000E+03
  -8.240  0.1692E-82  0.1000E+03
  -8.210  0.1692E-82  0.1000E+03
  -8.180  0.1692E-82  0.1000E+03
  -8.150  0.1692E-82  0.1000E+03
  -8.120  0.1692E-82  0.1000E+03
  -8.090  0.1692E-82  0.1000E+03
  -8.060  0.1692E-82  0.1000E+03
  -8.030  0.1692E-82  0.1000E+03
  -8.000  0.1692E-82  0.1000E+03
  -7.970  0.1692E-82  0.1000E+03
  -7.940  0.1692E-82  0.1000E+03
  -7.910  0.1692E-82  0.1000E+03
  -7.880  0.1692E-82  0.1000E+03
  -7.850  0.1692E-82  0.1000E+03
  -7.820  0.1692E-82  0.1000E+03
  -7.790  0.1692E-82  0.1000E+03
  -7.760  0.1692E-82  0.1000E+03
  -7.730  0.1692E-82  0.1000E+03
  -7.700  0.1692E-82  0.1000E+03
  -7.670  0.1692E-82  0.1000E+03
  -7.640  0.1692E-82  0.1000E+03
  -7.610  0.1692E-82  0.1000E+03
  -7.580  0.1692E-82  0.1000E+03
  -7.550  0.1692E-82  0.1000E+03
  -7.520  0.1692E-82  0.1000E+03
  -7.490  0.1692E-82  0.1000E+03
  -7.460  0.1692E-82  0.1000E+03
  -7.430  0.1692E-82  0.1000E+03
  -7.400  0.1692E-82  0.1000E+03
  -7.370  0.1692E-82  0.1000E+03
  -7.340  0.1692E-82  0.1000E+03
  -7.310  0.1692E-82  0.1000E+03
  -7.280  0.1692E-82  0.1000E+03
  -7.250  0.1692E-82  0.1000E+03
  -7.220  0.1692E-82  0.1000E+03
  -7.190  0.1692E-82  0.1000E+03
  -7.160  0.1692E-82  0.1000E+03
  -7.130  0.1692E-82  0.1000E+03
  -7.100  0.1692E-82  0.1000E+03
