#  aims_uuid : 282258B3-0A00-4C8B-ABE0-40F779DADCD2                                
#  angular momentum projected density of states for species add_Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.703064 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2
       -3.29493411        0.37410183        0.02840976        0.34565684        0.00003523
       -3.28492410        0.36271827        0.02719015        0.33549332        0.00003479
       -3.27491409        0.03839865        0.00111080        0.03728170        0.00000615
       -3.26490408        0.04873309        0.00150259        0.04722277        0.00000773
       -3.25489407        0.06221193        0.00203892        0.06016331        0.00000971
       -3.24488406        0.07883519        0.00271979        0.07610330        0.00001209
       -3.23487405        0.09860285        0.00354521        0.09504275        0.00001488
       -3.22486404        0.12151491        0.00451518        0.11698167        0.00001807
       -3.21485403        0.14066914        0.00548445        0.13516408        0.00002060
       -3.20484402        0.17135816        0.00671967        0.16461329        0.00002520
       -3.19483401        0.21543101        0.00812892        0.20727006        0.00003202
       -3.18482400        0.23830282        0.01065056        0.22761805        0.00003420
       -3.17481399        0.41829644        0.01941904        0.39881820        0.00005919
       -3.16480398        0.16576123        0.00870687        0.15703205        0.00002230
       -3.15479397        0.20116669        0.01059921        0.19054042        0.00002705
       -3.14478396        0.24300094        0.01284056        0.23012771        0.00003267
       -3.13477395        0.32612248        0.01683642        0.30923969        0.00004636
       -3.12476394        0.66119243        0.03328643        0.62780298        0.00010303
       -3.11475393        0.50870774        0.02586177        0.48276817        0.00007780
       -3.10474392        0.65867858        0.03583365        0.62275678        0.00008816
       -3.09473391        1.21137743        0.06611929        1.14510022        0.00015792
       -3.08472390        1.05820233        0.05836102        0.99970798        0.00013333
       -3.07471389        0.83869283        0.04655007        0.79203938        0.00010338
       -3.06470388        0.55284891        0.03068644        0.52209442        0.00006805
       -3.05469387        0.44125344        0.02377906        0.41741828        0.00005610
       -3.04468386        0.44461460        0.02270781        0.42184780        0.00005899
       -3.03467385        0.22466944        0.01165792        0.21298180        0.00002971
       -3.02466384        0.19776145        0.00991739        0.18781719        0.00002687
       -3.01465383        0.17770378        0.00829610        0.16938311        0.00002458
       -3.00464382        0.15967650        0.00679609        0.15285792        0.00002249
       -2.99463381        0.14279231        0.00541725        0.13735451        0.00002055
       -2.98462380        0.12705119        0.00415957        0.12287289        0.00001874
       -2.97461379        0.11245317        0.00302305        0.10941304        0.00001708
       -2.96460378        0.11559001        0.00200647        0.11356326        0.00002028
       -2.95459377        0.08597361        0.00109647        0.08486351        0.00001363
       -2.94458376        0.10389085        0.00095389        0.10291971        0.00001725
       -2.93457375        0.28929298        0.00296668        0.28625955        0.00006676
       -2.92456374        0.38136674        0.00219604        0.37908112        0.00008959
       -2.91455373        0.12597736       -0.00107819        0.12702258        0.00003296
       -2.90454372        0.03355917        0.00001404        0.03354015        0.00000498
       -2.89453371        0.00220225        0.00000000        0.00220190        0.00000035
       -2.88452370        0.04147869        0.00104960        0.04042411        0.00000499
       -2.87451369        0.39412927        0.00813092        0.38595533        0.00004302
       -2.86450368        0.08415495        0.00208254        0.08206243        0.00000998
       -2.85449367        0.04243548        0.00075608        0.04167402        0.00000538
       -2.84448366        0.05073272        0.00008002        0.05064584        0.00000685
       -2.83447365        0.05334724        0.00020550        0.05313469        0.00000705
       -2.82446364        0.06664374        0.00047327        0.06616188        0.00000858
       -2.81445363        0.08653927        0.00081633        0.08571236        0.00001058
       -2.80444362        0.24398560        0.00530705        0.23864703        0.00003152
       -2.79443361        0.28892667        0.00631205        0.28257766        0.00003697
       -2.78442360        0.30531831        0.00694179        0.29833688        0.00003964
       -2.77441359        0.24334650        0.00591956        0.23739648        0.00003046
       -2.76440358        0.22774482        0.00524643        0.22247081        0.00002758
       -2.75439357        0.09733626        0.00233046        0.09499289        0.00001291
       -2.74438356        0.24708361        0.01170401        0.23535766        0.00002194
       -2.73437355        0.14688938        0.00465265        0.14221815        0.00001858
       -2.72436354        0.09604421        0.00179884        0.09422968        0.00001570
       -2.71435353        0.05671030       -0.00063877        0.05733435        0.00001472
